id,feedback,number_positive,positive_sentiment,number_negative,negative_sentiment,annotation,intention,total_lenght,negative_lengt,severity,similarity_score,total_score
45,"I do not speak German, but would like to try your app. I do use my sign in e-mail & PW but it seems I need to register first, could you pls help me",0,0.0,2,-0.4,"<Participant name=""""><Sentence id=""70""><NEG_opinion freq=""1"">I do not speak German but would like to try your app.</NEG_opinion><POS_opinion freq=""2"">I do not speak German but would like to try your app.</POS_opinion></Sentence><Sentence id=""72""><Requestive freq=""1"">I do use my sign in e mail PW but it seems I need to register first could you pls help me</Requestive><POS_opinion freq=""2"">I do use my sign in e mail PW but it seems I need to register first could you pls help me</POS_opinion></Sentence></Participant>",0.94,147,142,0.9659863945578231,0.07692307692307693,0.1773835688121402
89,"Hello,
first of all a heartily thank you for that good website. I use it currently for electricity, heating and water consumption. I would also like to use it for the mobility, because I would like to monitor our overall energy consumption. Unfortunately, there is a problem with the input of fuel bills. We use a natural gas vehicle so it costs less than 20 € to recharge it completely. The entry of such low cost associated with a fully recharge is not allowed by the system. Currently I recording my vehicle consumption with spritmonitor.de. Perhaps you can find inspiration there. Obviously for me it would be optimal having a importer from spritmonitor.de in your portal. As an improvement proposal I would still like to see my annual energy consumption in a pie chart, split into energy (electricity, gas, petrol) and by use (household, mobility, heat).
Best wishes",4,0.4,6,-0.39999999999999997,"<Participant name=""""><Sentence id=""311""><POS_opinion freq=""4"">Hello first of all a heartily thank you for that good website.</POS_opinion><Thank freq=""1"">Hello first of all a heartily thank you for that good website.</Thank></Sentence><Sentence id=""313""><Informative freq=""1"">I use it currently for electricity heating and water consumption.</Informative></Sentence><Sentence id=""315""><Requirement freq=""2"">I would also like to use it for the mobility because I would like to monitor our overall energy consumption.</Requirement></Sentence><Sentence id=""317""><NEG_opinion freq=""1"">Unfortunately there is a problem with the input of fuel bills.</NEG_opinion></Sentence><Sentence id=""319""><NEG_opinion freq=""2"">We use a natural gas vehicle so it costs less than 20 € to recharge it completely.</NEG_opinion></Sentence><Sentence id=""321""><NEG_opinion freq=""3"">The entry of such low cost associated with a fully recharge is not allowed by the system.</NEG_opinion></Sentence><Sentence id=""323""><Informative freq=""1"">Currently I recording my vehicle consumption with spritmonitor.de.</Informative></Sentence><Sentence id=""325""><Informative freq=""1"">Perhaps you can find inspiration there.</Informative></Sentence><Sentence id=""327""><POS_opinion freq=""1"">Obviously for me it would be optimal having a importer from spritmonitor.de in your portal.</POS_opinion></Sentence><Sentence id=""329""><Requirement freq=""1"">As an improvement proposal I would still like to see my annual energy consumption in a pie chart split into energy electricity gas petrol and by use household mobility heat.</Requirement></Sentence><Sentence id=""331""><Informative freq=""1"">Best wishes</Informative></Sentence></Participant>",1.0,871,605,0.6946039035591275,0.1935483870967742,0.482826561979186
24,"I accidentally deleted my household.
Is there an emergency, or do I have to start from scratch?",0,0.0,1,-0.4,"<Participant name=""""><Sentence id=""37""><Informative freq=""1"">I accidentally deleted my household.</Informative></Sentence><Sentence id=""39""><Question freq=""1"">Is there an emergency or do I have to start from scratch?</Question></Sentence></Participant>",0.13,95,36,0.37894736842105264,0.09090909090909091,0.08263157894736843
48,"Dear Ladies and Gentlemen,
I have now signed up for energy savings account, but can not enter data. On top right the message ""Read permission only"" appears, but under ""account permissions"" only the assignment of rights is possible. How do I get full access to my power saving account so I can start something?
Among the forum entries I could find no evidence and the hotline is despite the indication on weekdays from 10 - 17 o'clock not occupied.
Here is still significant need for improvement. There is no reason for a new user, as it receives a fully functional account. In addition, it reflects badly on the operator when the hotline is not staffed in the specified times.
Best regards",0,0.0,4,-0.4,"<Participant name=""""><Sentence id=""251""><NEG_opinion freq=""1"">Dear Ladies and Gentlemen I have now signed up for energy savings account but can not enter data.</NEG_opinion><Assertive freq=""1"">Dear Ladies and Gentlemen I have now signed up for energy savings account but can not enter data.</Assertive><POS_opinion freq=""2"">Dear Ladies and Gentlemen I have now signed up for energy savings account but can not enter data.</POS_opinion></Sentence><Sentence id=""253""><NEG_opinion freq=""1"">On top right the message Read permission only appears but under account permissions only the assignment of rights is possible.</NEG_opinion><POS_opinion freq=""1"">On top right the message Read permission only appears but under account permissions only the assignment of rights is possible.</POS_opinion></Sentence><Sentence id=""255""><Question freq=""4"">How do I get full access to my power saving account so I can start something?</Question></Sentence><Sentence id=""257""><NEG_opinion freq=""1"">Among the forum entries I could find no evidence and the hotline is despite the indication on weekdays from 10 17 o'clock not occupied.</NEG_opinion></Sentence><Sentence id=""259""><NEG_opinion freq=""1"">Here is still significant need for improvement.</NEG_opinion><POS_opinion freq=""2"">Here is still significant need for improvement.</POS_opinion></Sentence><Sentence id=""261""><POS_opinion freq=""2"">There is no reason for a new user as it receives a fully functional account.</POS_opinion></Sentence><Sentence id=""263""><NEG_opinion freq=""1"">In addition it reflects badly on the operator when the hotline is not staffed in the specified times.</NEG_opinion><Descriptive freq=""2"">In addition it reflects badly on the operator when the hotline is not staffed in the specified times.</Descriptive><POS_opinion freq=""1"">In addition it reflects badly on the operator when the hotline is not staffed in the specified times.</POS_opinion></Sentence><Sentence id=""265""><Informative freq=""1"">Best regards</Informative></Sentence></Participant>",0.35000000000000003,689,409,0.5936139332365747,0.034482758620689655,0.04633151493919223
49,"I have several times today registered myself for the energy savings account and entered all basic data. My repeated attempts to access my account to enter the consumption data are, however, failed. If a great idea is technically implemented completely immature, this is certainly not only at my frustration and anger.",0,0.0,3,-0.4000000000000001,"<Participant name=""""><Sentence id=""106""><Assertive freq=""1"">I have several times today registered myself for the energy savings account and entered all basic data.</Assertive><POS_opinion freq=""1"">I have several times today registered myself for the energy savings account and entered all basic data.</POS_opinion></Sentence><Sentence id=""108""><Informative freq=""1"">My repeated attempts to access my account to enter the consumption data are however failed.</Informative></Sentence><Sentence id=""110""><NEG_opinion freq=""1"">If a great idea is technically implemented completely immature this is certainly not only at my frustration and anger.</NEG_opinion><POS_opinion freq=""2"">If a great idea is technically implemented completely immature this is certainly not only at my frustration and anger.</POS_opinion></Sentence></Participant>",0.76,317,312,0.9842271293375394,0.17391304347826086,0.372909065971746
191,"I encountered problems changing my meters (Gas, water, electricity). After entering a new meter (meter number), I am not able anymore to access already entered values. The earlier comparisons are therefore lost.",0,0.0,3,-0.4000000000000001,"<Participant name=""""><Sentence id=""68""><Informative freq=""1"">I encountered problems changing my meters Gas water electricity.</Informative></Sentence><Sentence id=""70""><NEG_opinion freq=""1"">After entering a new meter meter number I am not able anymore to access already entered values.</NEG_opinion><Descriptive freq=""1"">After entering a new meter meter number I am not able anymore to access already entered values.</Descriptive></Sentence><Sentence id=""72""><NEG_opinion freq=""1"">The earlier comparisons are therefore lost.</NEG_opinion></Sentence></Participant>",0.16,211,202,0.957345971563981,0.2631578947368421,0.3993015714642055
171,"Good day, I record for some years my meter readings in your energy saving account. Now I have a problem in entering my water bill. My stand on the settlement was 350.703 m3, as I have also recorded it. Now an error message appears that says the state must be between 279.184 and 285.164 m3. This must be a validation error. Could you please check this and then let me know?
Thank you very much.
",2,0.4,5,-0.4,"<Participant name=""""><Sentence id=""167""><POS_opinion freq=""2"">Good day I record for some years my meter readings in your energy saving account.</POS_opinion></Sentence><Sentence id=""169""><Assertive freq=""1"">Now I have a problem in entering my water bill.</Assertive></Sentence><Sentence id=""171""><Assertive freq=""1"">My stand on the settlement was 350.703 m3 as I have also recorded it.</Assertive></Sentence><Sentence id=""173""><NEG_opinion freq=""1"">Now an error message appears that says the state must be between 279.184 and 285.164 m3.</NEG_opinion><POS_opinion freq=""2"">Now an error message appears that says the state must be between 279.184 and 285.164 m3.</POS_opinion></Sentence><Sentence id=""175""><POS_opinion freq=""2"">This must be a validation error.</POS_opinion></Sentence><Sentence id=""177""><Question freq=""1"">Could you please check this and then let me know?</Question></Sentence><Sentence id=""179""><POS_opinion freq=""2"">Thank you very much.</POS_opinion><Thank freq=""1"">Thank you very much.</Thank></Sentence></Participant>",0.5499999999999999,395,285,0.7215189873417721,0.08,0.16572151898734178
199,"I started with water bill because i thought i would be easier for me.
One main meter, no sub meter but meter exchange at 18.03 and yearly bill from 01.01. to 31.12.2015.
I give up after the date is resetted to 01.01.2016 without saving changes.",0,0.0,2,-0.4,"<Participant name=""""><Sentence id=""107""><Suppositive freq=""1"">I started with water bill because i thought i would be easier for me.</Suppositive></Sentence><Sentence id=""109""><POS_opinion freq=""1"">One main meter no sub meter but meter exchange at 18.03 and yearly bill from 01.01. to 31.12.2015.</POS_opinion></Sentence><Sentence id=""111""><Descriptive freq=""1"">I give up after the date is resetted to 01.01.2016 without saving changes.</Descriptive><POS_opinion freq=""4"">I give up after the date is resetted to 01.01.2016 without saving changes.</POS_opinion></Sentence></Participant>",0.46,244,157,0.6434426229508197,0.05555555555555555,0.08352459016393443
234,"I am excited energy saver and user of your site.
i have recommended the site to lot of people. Sadly with small success.
The electricity is simply far too cheap yet, to interest an ""usual"" household.
Today i exchanged a meter and i found it great, that all needed entries were asked for clearly.
Great!
Thank you!",5,0.52,2,-0.4,"<Participant name=""""><Sentence id=""122""><NEG_opinion freq=""1"">I am excited energy saver and user of your site.</NEG_opinion></Sentence><Sentence id=""124""><Assertive freq=""1"">i have recommended the site to lot of people.</Assertive></Sentence><Sentence id=""126""><NEG_opinion freq=""1"">Sadly with small success.</NEG_opinion></Sentence><Sentence id=""128""><NEG_opinion freq=""1"">The electricity is simply far too cheap yet to interest an usual household.</NEG_opinion><POS_opinion freq=""3"">The electricity is simply far too cheap yet to interest an usual household.</POS_opinion></Sentence><Sentence id=""130""><NEG_opinion freq=""1"">Today i exchanged a meter and i found it great that all needed entries were asked for clearly.</NEG_opinion><POS_opinion freq=""2"">Today i exchanged a meter and i found it great that all needed entries were asked for clearly.</POS_opinion></Sentence><Sentence id=""132""><Informative freq=""1"">Great!</Informative></Sentence><Sentence id=""134""><Thank freq=""1"">Thank you!</Thank></Sentence></Participant>",0.76,313,100,0.3194888178913738,0.17391304347826086,0.34773718572023893
135,"I can not cope with the entries of all the data. Furthermore, it was converted from heating oil to natural gas. Can you help me???",0,0.0,2,-0.4,"<Participant name=""""><Sentence id=""56""><NEG_opinion freq=""1"">I can not cope with the entries of all the data.</NEG_opinion><Assertive freq=""1"">I can not cope with the entries of all the data.</Assertive></Sentence><Sentence id=""58""><NEG_opinion freq=""2"">Furthermore it was converted from heating oil to natural gas.</NEG_opinion></Sentence><Sentence id=""60""><Question freq=""1"">Can you help me???</Question></Sentence></Participant>",0.445,130,109,0.8384615384615385,0.0,0.0
